incident_id,incident_title,incident_description,incident_type,asset_type,business_impact,user_privilege,recommended_action_ids,outcome
INC-219113d4,Data Breach incident reported,Critical alert: Risk of exposure of sensitive information detected. Root cause appears to be access from unfamiliar locations as noted by reported by monitoring teams.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-bd695aae,Denial of Service incident reported,Critical alert: Risk of customer impact detected. Root cause appears to be system downtime caused by overload as noted by reported by service owners.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Partial
INC-7af4a196,Insider Misuse incident reported,Incident Log: access beyond job responsibilities was identified via reported by internal teams. This has resulted in loss of data integrity.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-eecc89a5,Phishing incident reported,"flagged during security awareness review flagged suspicious email campaigns, posing an immediate risk of risk of further attacks.",Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-21b38d85,Denial of Service incident reported,"identified by network monitoring tools flagged network congestion from excessive requests, posing an immediate risk of service disruption.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Partial
INC-b05d2e07,Insider Misuse incident reported,"identified by access control review flagged policy violations by internal users, posing an immediate risk of internal security risk.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Failure
INC-f97a3d98,Phishing incident reported,Incident Log: unexpected login prompts was identified via identified through user complaints. This has resulted in identity misuse.,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-d5dca066,Phishing incident reported,SECURITY EVENT: employees reporting deceptive emails // SOURCE: detected during email analysis // IMPACT: identity misuse,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-ec1e9925,Data Breach incident reported,SECURITY EVENT: unexpected access to sensitive records // SOURCE: identified through abnormal access logs // IMPACT: loss of customer trust,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-eb64a23a,Ransomware incident reported,SECURITY EVENT: inaccessible system data // SOURCE: reported during service disruption // IMPACT: business disruption,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-fb7e4285,Phishing incident reported,SECURITY EVENT: suspicious email campaigns // SOURCE: reported by employees // IMPACT: unauthorized account access,Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-6de71239,Denial of Service incident reported,Incident Log: service unavailability due to traffic spikes was identified via identified by network monitoring tools. This has resulted in availability loss.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-56e7e0f0,Phishing incident reported,"detected during email analysis flagged suspicious email campaigns, posing an immediate risk of identity misuse.",Phishing,Application,Low,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-19f95d78,Insider Misuse incident reported,SECURITY EVENT: repeated access to restricted resources // SOURCE: discovered during policy enforcement checks // IMPACT: loss of data integrity,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-e654d03a,Denial of Service incident reported,Incident Log: resource exhaustion on network devices was identified via reported by service owners. This has resulted in availability loss.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-e36f2673,Ransomware incident reported,SECURITY EVENT: unauthorized encryption activity // SOURCE: reported during service disruption // IMPACT: operational paralysis,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-94d85557,Data Breach incident reported,"discovered during compliance review flagged access from unfamiliar locations, posing an immediate risk of legal and financial impact.",Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-345ed538,Malware incident reported,SECURITY EVENT: unauthorized software execution // SOURCE: flagged during security scanning // IMPACT: credential compromise,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-2934c07a,Ransomware incident reported,Incident Log: appearance of ransom notes was identified via reported during service disruption. This has resulted in data loss.,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-d80174a5,Denial of Service incident reported,SECURITY EVENT: service unavailability due to traffic spikes // SOURCE: detected after service outages // IMPACT: service disruption,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Partial
INC-f1f1cd6b,Denial of Service incident reported,SECURITY EVENT: service unavailability due to traffic spikes // SOURCE: observed during traffic analysis // IMPACT: business continuity issues,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Failure
INC-8db23160,Data Breach incident reported,Critical alert: Risk of regulatory non-compliance detected. Root cause appears to be large volumes of data extraction as noted by discovered during compliance review.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-fd551a1e,Ransomware incident reported,SECURITY EVENT: encrypted files across multiple directories // SOURCE: reported during service disruption // IMPACT: operational paralysis,Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-ccf3a5d5,Insider Misuse incident reported,Incident Log: unauthorized internal data access was identified via identified by access control review. This has resulted in internal security risk.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-a90eefbf,Data Breach incident reported,Incident Log: large volumes of data extraction was identified via reported by monitoring teams. This has resulted in regulatory non-compliance.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-26b72022,Data Breach incident reported,Incident Log: access from unfamiliar locations was identified via discovered during compliance review. This has resulted in regulatory non-compliance.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-a8695f24,Malware incident reported,Incident Log: high CPU usage by unknown executables was identified via detected by endpoint protection software. This has resulted in risk of lateral movement.,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-54879ac2,Denial of Service incident reported,Incident Log: service unavailability due to traffic spikes was identified via identified by network monitoring tools. This has resulted in service disruption.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Partial
INC-fdbcaf15,Denial of Service incident reported,"observed during traffic analysis flagged service unavailability due to traffic spikes, posing an immediate risk of service disruption.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-47c11756,Ransomware incident reported,SECURITY EVENT: inaccessible system data // SOURCE: detected after file access failures // IMPACT: business disruption,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-62742054,Data Breach incident reported,Critical alert: Risk of exposure of sensitive information detected. Root cause appears to be unexpected access to sensitive records as noted by identified through abnormal access logs.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-77c7713c,Malware incident reported,"identified during routine system monitoring flagged high CPU usage by unknown executables, posing an immediate risk of risk of lateral movement.",Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-f7bfb5bb,Ransomware incident reported,"reported during service disruption flagged encrypted files across multiple directories, posing an immediate risk of operational paralysis.",Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Partial
INC-33d0909d,Denial of Service incident reported,"detected after service outages flagged service unavailability due to traffic spikes, posing an immediate risk of availability loss.",Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-5b85790b,Ransomware incident reported,Incident Log: encrypted files across multiple directories was identified via discovered during incident escalation. This has resulted in business disruption.,Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-9c046b4f,Malware incident reported,SECURITY EVENT: unexpected background processes // SOURCE: identified during routine system monitoring // IMPACT: risk of lateral movement,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-3ac3196d,Malware incident reported,Incident Log: high CPU usage by unknown executables was identified via identified during routine system monitoring. This has resulted in potential data exposure.,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-281d8150,Malware incident reported,"detected by endpoint protection software flagged unusual system slowdown, posing an immediate risk of system instability.",Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-ea7be474,Phishing incident reported,"identified through user complaints flagged unexpected login prompts, posing an immediate risk of credential compromise.",Phishing,Application,Low,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-34e5ebe7,Denial of Service incident reported,Incident Log: degraded service performance was identified via identified by network monitoring tools. This has resulted in customer impact.,Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-6df6f078,Insider Misuse incident reported,"reported by internal teams flagged access beyond job responsibilities, posing an immediate risk of policy violations.",Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-a3521dca,Malware incident reported,SECURITY EVENT: unauthorized software execution // SOURCE: identified during routine system monitoring // IMPACT: potential data exposure,Malware,Endpoint,Medium,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-ddadae53,Malware incident reported,SECURITY EVENT: high CPU usage by unknown executables // SOURCE: flagged during security scanning // IMPACT: system instability,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Partial
INC-25d0380e,Malware incident reported,Critical alert: Risk of system instability detected. Root cause appears to be frequent application crashes as noted by identified during routine system monitoring.,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-affb903a,Data Breach incident reported,SECURITY EVENT: unexpected access to sensitive records // SOURCE: reported by monitoring teams // IMPACT: loss of customer trust,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-257db64e,Denial of Service incident reported,"identified by network monitoring tools flagged system downtime caused by overload, posing an immediate risk of business continuity issues.",Denial of Service,Network,High,User,IR-ID-01;IR-POST-01,Success
INC-7188a121,Insider Misuse incident reported,Critical alert: Risk of policy violations detected. Root cause appears to be repeated access to restricted resources as noted by reported by internal teams.,Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-67fa6c0a,Insider Misuse incident reported,SECURITY EVENT: unauthorized internal data access // SOURCE: discovered during policy enforcement checks // IMPACT: internal security risk,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-d6c27384,Data Breach incident reported,Incident Log: abnormal data access patterns was identified via identified through abnormal access logs. This has resulted in legal and financial impact.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-c2d1b7b8,Insider Misuse incident reported,Critical alert: Risk of internal security risk detected. Root cause appears to be misuse of privileged system access as noted by reported by internal teams.,Insider Misuse,Server,Medium,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-1a045728,Data Breach incident reported,Incident Log: access from unfamiliar locations was identified via detected during a security audit. This has resulted in regulatory non-compliance.,Data Breach,Application,High,User,IR-ID-01;IR-CON-02;IR-POST-01,Partial
INC-fd0fed32,Data Breach incident reported,Incident Log: large volumes of data extraction was identified via identified through abnormal access logs. This has resulted in loss of customer trust.,Data Breach,Application,High,Admin,IR-ID-01;IR-CON-02;IR-POST-01,Success
INC-5ffca24d,Ransomware incident reported,"detected after file access failures flagged inaccessible system data, posing an immediate risk of business disruption.",Ransomware,Server,High,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-756f0b70,Ransomware incident reported,"reported during service disruption flagged appearance of ransom notes, posing an immediate risk of business disruption.",Ransomware,Server,High,Admin,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-REC-01;IR-POST-01,Success
INC-f4451f65,Denial of Service incident reported,Critical alert: Risk of customer impact detected. Root cause appears to be service unavailability due to traffic spikes as noted by identified by network monitoring tools.,Denial of Service,Network,High,Admin,IR-ID-01;IR-POST-01,Success
INC-2b51f163,Malware incident reported,Critical alert: Risk of potential data exposure detected. Root cause appears to be unusual system slowdown as noted by flagged during security scanning.,Malware,Endpoint,Medium,User,IR-ID-01;IR-ID-02;IR-CON-01;IR-ERA-01;IR-POST-01,Success
INC-e06da974,Insider Misuse incident reported,"identified by access control review flagged policy violations by internal users, posing an immediate risk of loss of data integrity.",Insider Misuse,Server,Medium,User,IR-ID-01;IR-CON-02;IR-POST-01,Success
